id,ts,asset,dir,entry,size,edge,left,ref,outcome,pnl,pps,pair,follower,in_0.51_0.60,in_0.51_0.80
1177,2026-09-17T18:35:19,ETH,UP,0.593,15.0,5.0,10m left,2471.14,LOSS,-8.895,-0.593,True,False,True,True
1178,2026-09-17T18:35:19,BTC,UP,0.702,15.0,8.2,10m left,76869.5,LOSS,-10.53,-0.702,True,True,False,True
1181,2026-09-17T20:21:59,ETH,UP,0.782,15.0,5.0,8m left,2450.08,WIN,3.27,0.218,True,False,False,True
1182,2026-09-17T20:21:59,BTC,UP,0.778,15.0,7.8,8m left,76506.48,WIN,3.33,0.222,True,True,False,True
1185,2026-09-17T21:06:39,BTC,UP,0.77,15.0,7.9,8m left,76549.2,WIN,3.45,0.23,True,False,False,True
1186,2026-09-17T21:06:39,ETH,UP,0.853,15.0,-3.1,8m left,2448.13,WIN,2.205,0.147,True,True,False,False
1189,2026-09-18T17:04:57,BTC,UP,0.716,15.0,5.3,10m left,80692.17,WIN,4.26,0.284,True,False,False,True
1190,2026-09-18T17:04:58,ETH,UP,0.644,15.0,-1.0,10m left,2582.88,WIN,5.34,0.356,True,True,False,True
1193,2026-09-18T17:17:05,BTC,UP,0.557,15.0,7.8,13m left,80946.38,WIN,6.645,0.44299999999999995,True,False,True,True
1194,2026-09-18T17:17:06,ETH,UP,0.397,15.0,27.6,13m left,2595.91,WIN,9.045,0.603,True,True,False,False
1197,2026-09-19T15:32:29,BTC,UP,0.709,15.0,6.8,13m left,81554.75,LOSS,-10.635,-0.709,False,False,False,True
1199,2026-09-19T17:06:38,ETH,UP,0.534,15.0,6.7,8m left,2640.75,WIN,6.99,0.466,False,False,True,True
1201,2026-09-19T18:22:21,ETH,UP,0.784,15.0,6.3,8m left,2649.85,LOSS,-11.76,-0.784,False,False,False,True
1203,2026-09-19T22:18:48,ETH,DOWN,0.576,15.0,5.6,11m left,2624.87,LOSS,-8.64,-0.5760000000000001,False,False,True,True
1205,2026-09-20T00:19:41,ETH,DOWN,0.755,15.0,6.3,10m left,2635.35,WIN,3.675,0.245,False,False,False,True
1207,2026-09-20T03:49:50,BTC,DOWN,0.533,15.0,7.4,10m left,80551.41,WIN,7.005,0.46699999999999997,False,False,True,True
1209,2026-09-20T04:02:17,BTC,DOWN,0.629,15.0,8.1,13m left,80314.19,WIN,5.565,0.37100000000000005,False,False,False,True
1211,2026-09-20T12:03:23,ETH,DOWN,0.726,15.0,5.3,12m left,2570.97,LOSS,-10.89,-0.7260000000000001,False,False,False,True
1213,2026-09-21T01:17:36,BTC,DOWN,0.731,15.0,4.6,12m left,81675.22,LOSS,-10.965,-0.731,False,False,False,True
1214,2026-09-21T01:19:47,ETH,UP,0.752,15.0,5.0,10m left,2677.41,WIN,3.72,0.24800000000000003,False,False,False,True
1217,2026-09-21T03:03:01,ETH,UP,0.764,15.0,4.3,12m left,2649.94,WIN,3.54,0.23600000000000002,False,False,False,True
1219,2026-09-21T09:47:08,ETH,UP,0.646,15.0,6.9,13m left,2700.01,LOSS,-9.69,-0.646,True,False,False,True
1220,2026-09-21T09:50:09,BTC,UP,0.671,15.0,7.3,10m left,83525.78,WIN,4.935,0.32899999999999996,True,True,False,True
1223,2026-09-21T10:04:52,ETH,DOWN,0.552,15.0,6.4,10m left,2696.2,LOSS,-8.28,-0.5519999999999999,False,False,True,True
1224,2026-09-21T10:05:53,BTC,UP,0.78,15.0,4.8,9m left,83748.3,WIN,3.3,0.22,False,False,False,True
